date,team1,team1_score,team2,team2_score,map,event,winner,win_margin
7/2/19,G2,16,forZe,5,Inferno,IEM Sydney 2019 Europe Closed Qualifier,forZe,11
7/2/19,OpTic,16,HellRaisers,7,Inferno,IEM Sydney 2019 Europe Closed Qualifier,HellRaisers,9
7/2/19,OpTic,7,HellRaisers,16,Overpass,IEM Sydney 2019 Europe Closed Qualifier,OpTic,9
7/2/19,HellRaisers,8,OpTic,16,Mirage,IEM Sydney 2019 Europe Closed Qualifier,HellRaisers,8
7/2/19,Sprout,16,expert,11,Inferno,United Masters League,Sprout,5
7/2/19,expert,11,Sprout,16,Dust2,United Masters League,Sprout,5
7/2/19,North,16,Natus Vincere,12,Nuke,GG.BET ICE Challenge,North,4
7/2/19,North,16,Natus Vincere,14,Dust2,GG.BET ICE Challenge,North,2
7/2/19,Chaos,16,pro100,14,Inferno,LOOT.BET Season 1,Chaos,2
7/2/19,Chaos,16,pro100,13,Overpass,LOOT.BET Season 1,Chaos,3
7/2/19,pro100,19,Chaos,16,Cache,LOOT.BET Season 1,pro100,3
7/2/19,3DMAX,16,Tricked,10,Mirage,LOOT.BET HotShot Series Season 1,3DMAX,6
7/2/19,Tricked,8,3DMAX,16,Inferno,LOOT.BET HotShot Series Season 1,Tricked,8
7/2/19,Tricked,16,3DMAX,4,Nuke,LOOT.BET HotShot Series Season 1,3DMAX,12
7/2/19,Chiefs,16,Paradox,5,Mirage,ESEA MDL Season 30 Australia,Paradox,11
7/2/19,Heroic,16,Natus Vincere,19,Mirage,GG.BET ICE Challenge,Natus Vincere,3
7/2/19,Heroic,8,Natus Vincere,16,Train,GG.BET ICE Challenge,Heroic,8
7/2/19,Chiefs,16,Skyfire,3,Cache,ESEA MDL Season 30 Australia,Skyfire,13
7/2/19,Skyfire,9,Ground Zero,16,Mirage,ESEA MDL Season 30 Australia,Skyfire,7
7/2/19,Old Guys Club,16,Final Feature,11,Nuke,ESEA MDL Season 30 North America,Old Guys Club,5
7/2/19,Stay Frosty,12,The Fundamentals,16,Inferno,ESEA MDL Season 30 North America,The Fundamentals,4
